,diffs,total_num,robustness,total_time,average_time,pred_accuracy,validity,proximity
m_0,31,4056,tensor(0.9924),0.029128074645996094,-1,0.9783144593238831,0.9797930121421814,6.2421088218688965
m_1,0,5836,tensor(1.),0.03853154182434082,-1,0.9859589338302612,0.9897260069847107,8.795940399169922
m_2,42,5145,tensor(0.9918),0.03430461883544922,-1,0.9006533622741699,0.937548041343689,7.213978290557861
m_3,1,4587,tensor(0.9998),0.03319120407104492,-1,0.8823529481887817,0.9853442907333374,8.003215789794922
m_4,5,4521,tensor(0.9989),0.03286862373352051,-1,0.9452166557312012,0.9922322034835815,7.306605339050293
m_5,1,5139,tensor(0.9998),0.034173011779785156,-1,0.9226433634757996,0.9924198389053345,7.558502674102783
m_6,4,5160,tensor(0.9992),0.03293943405151367,-1,0.912858247756958,0.9938032627105713,8.400936126708984
m_7,8,5195,tensor(0.9985),0.034619808197021484,-1,0.891633152961731,0.9687919020652771,7.130706310272217
m_8,9,6116,tensor(0.9985),0.040753841400146484,-1,0.8595587015151978,0.9884039163589478,7.2129740715026855
m_9,9,8035,tensor(0.9989),0.050812721252441406,-1,0.8703882098197937,0.9779358506202698,7.322527885437012
m_10,2,9973,tensor(0.9998),0.06502485275268555,-1,0.8842031955718994,0.9877951741218567,7.081628322601318
m_11,3,11515,tensor(0.9997),0.07446575164794922,-1,0.8737896084785461,0.9939584732055664,7.6885857582092285
m_12,8,12730,tensor(0.9994),0.07974386215209961,-1,0.8737970590591431,0.9900633692741394,6.532778263092041
m_13,4,12755,tensor(0.9997),0.0782623291015625,-1,0.884925901889801,0.9974915981292725,6.498373031616211
m_14,14,6833,tensor(0.9980),0.04453134536743164,-1,0.8274549841880798,0.9751207232475281,6.783446311950684
m_15,12,2618,tensor(0.9954),0.019104480743408203,-1,0.6701779961585999,0.9912822246551514,6.847357749938965
